Category,Model,Model Year,Manufacturer,Fuel,All-Electric Range,Alternative Fuel Economy Combined,Conventional Fuel Economy Combined,Transmission Type,Engine Size
Sedan/Wagon,NSX,2022,Acura,Hybrid Electric,,,21.0,Automatic,3.5L
Sedan/Wagon,A3 ,2022,Audi,Hybrid Electric,,,32.0,Automatic,2.0L
Sedan/Wagon,A3 quattro,2022,Audi,Hybrid Electric,,,31.0,Automatic,2.0L
Sedan/Wagon,A4 allroad quattro,2022,Audi,Hybrid Electric,,,26.0,Automatic,2.0L
Sedan/Wagon,A4 quattro,2022,Audi,Hybrid Electric,,,29.0,Automatic,2.0L
Sedan/Wagon,A4 S line quattro,2022,Audi,Hybrid Electric,,,27.0,Automatic,2.0L
Sedan/Wagon,A5 Cabriolet quattro,2022,Audi,Hybrid Electric,,,26.0,Automatic,2.0L
Sedan/Wagon,A5 Coupe quattro,2022,Audi,Hybrid Electric,,,27.0,Automatic,2.0L
Sedan/Wagon,A5 Sportback quattro,2022,Audi,Hybrid Electric,,,29.0,Automatic,2.0L
Sedan/Wagon,A5 Sportback S line quattro,2022,Audi,Hybrid Electric,,,27.0,Automatic,2.0L
Sedan/Wagon,A6 Allroad quattro,2022,Audi,Hybrid Electric,,,23.0,Automatic,3.0L
Sedan/Wagon,A6 quattro,2022,Audi,Hybrid Electric,,,24.0,Automatic,3.0L
Sedan/Wagon,A7 quattro,2022,Audi,Hybrid Electric,,,24.0,Automatic,3.0L
Sedan/Wagon,A7 TFSI e quattro,2022,Audi,Plug-in Hybrid Electric,26.0,70.0,27.0,Automatic,2.0L
Sedan/Wagon,A8L quattro,2022,Audi,Hybrid Electric,,,22.0,Automatic,3.0L
Sedan/Wagon,e-tron GT,2022,Audi,Electric,238.0,82.0,,Automatic,175 kW electric motor
SUV,e-tron quattro,2022,Audi,Electric,222.0,78.0,,Automatic,141 kW and 172 kW electric motor
SUV,"e-tron S (20"" wheels)",2022,Audi,Electric,208.0,73.0,,Automatic,138kW electric motor
SUV,"e-tron S (21"" or 22"" wheels)",2022,Audi,Electric,181.0,63.0,,Automatic,138kW electric motor
SUV,e-tron Sportback quattro,2022,Audi,Electric,218.0,77.0,,Automatic,141 kW and 172 kW electric motor
SUV,"e-tron S Sportback (20"" wheels)",2022,Audi,Electric,212.0,75.0,,Automatic,138kW electric motor
SUV,"e-tron S Sportback (21"" or 22"" wheels)",2022,Audi,Electric,185.0,65.0,,Automatic,157kW electric motor
SUV,Q4 e-tron quattro,2022,Audi,Electric,241.0,95.0,,Automatic,80 kW and 150 kW electric motor
SUV,Q4 e-tron Sportback quattro,2022,Audi,Electric,241.0,95.0,,Automatic,80 kW and 150 kW electric motor
SUV,Q5 quattro,2022,Audi,Hybrid Electric,,,25.0,Automatic,2.0L
SUV,Q5 S line quattro,2022,Audi,Hybrid Electric,,,25.0,Automatic,2.0L
SUV,Q5 Sportback S line quattro,2022,Audi,Hybrid Electric,,,25.0,Automatic,2.0L
Sedan/Wagon,Q5 TFSI e quattro,2022,Audi,Plug-in Hybrid Electric,23.0,61.0,26.0,Automatic,2.0L
SUV,Q7 quattro,2022,Audi,Hybrid Electric,,,20.0,Automatic,3.0L
SUV,Q8 quattro,2022,Audi,Hybrid Electric,,,20.0,Automatic,3.0L
Sedan/Wagon,RS 6 Avant,2022,Audi,Hybrid Electric,,,17.0,Automatic,4.0L
Sedan/Wagon,RS7,2022,Audi,Hybrid Electric,,,17.0,Automatic,4.0L
SUV,RS e-tron GT,2022,Audi,Electric,241.0,95.0,,Automatic,335 kW electric motor
Sedan/Wagon,RS Q8,2022,Audi,Hybrid Electric,,,15.0,Automatic,4.0L
Sedan/Wagon,S6,2022,Audi,Hybrid Electric,,,22.0,Automatic,2.9L
Sedan/Wagon,S7,2022,Audi,Hybrid Electric,,,22.0,Automatic,2.9L
Sedan/Wagon,S8,2022,Audi,Hybrid Electric,,,17.0,Automatic,4.0L
Sedan/Wagon,Flying Spur Hybrid,2022,Bentley Motors,Plug-in Hybrid Electric,21.0,46.0,19.0,Automatic,2.9L
Sedan/Wagon,330e Sedan,2022,BMW,Plug-in Hybrid Electric,23.0,75.0,28.0,Automatic,2.0L
Sedan/Wagon,330e xDrive,2022,BMW,Plug-in Hybrid Electric,20.0,67.0,25.0,Automatic,2.0L
Sedan/Wagon,530e Sedan,2022,BMW,Plug-in Hybrid Electric,21.0,64.0,26.0,Automatic,2.0L
Sedan/Wagon,530e xDrive Sedan,2022,BMW,Plug-in Hybrid Electric,19.0,62.0,25.0,Automatic,2.0L
Sedan/Wagon,540i Sedan,2022,BMW,Hybrid Electric,,,27.0,Automatic,3.0L
Sedan/Wagon,540i xDrive Sedan,2022,BMW,Hybrid Electric,,,25.0,Automatic,3.0L
Sedan/Wagon,745e xDrive,2022,BMW,Plug-in Hybrid Electric,17.0,56.0,22.0,Automatic,3.0L
Sedan/Wagon,"i4 eDrive40 Gran Coupe (18"" Wheels) ",2022,BMW,Electric,301.0,109.0,,Automatic,250 kW electric motor
Sedan/Wagon,"i4 eDrive40 Gran Coupe (19"" Wheels) ",2022,BMW,Electric,282.0,99.0,,Automatic,250 kW electric motor
Sedan/Wagon,"i4 M50 Gran Coupe (19"" Wheels) ",2022,BMW,Electric,270.0,96.0,,Automatic,190 and 230 kW electric motors
Sedan/Wagon,"i4 M50 Gran Coupe (20"" Wheels) ",2022,BMW,Electric,227.0,80.0,,Automatic,190 and 230 kW electric motors
SUV,"iX xDrive50 (20"" Wheels) ",2022,BMW,Electric,324.0,86.0,,Automatic,190 and 230 kW electric motors
SUV,"iX xDrive50 (21"" Wheels) ",2022,BMW,Electric,305.0,83.0,,Automatic,190 and 230 kW electric motors
SUV,"iX xDrive50 (22"" Wheels) ",2022,BMW,Electric,315.0,86.0,,Automatic,190 and 230 kW electric motors
Sedan/Wagon,M340i Sedan,2022,BMW,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,M340i xDrive Sedan,2022,BMW,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,M440i Convertible,2022,BMW,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,M440i Coupe,2022,BMW,Hybrid Electric,,,28.0,Automatic,3.0L
Sedan/Wagon,M440i xDrive Convertible,2022,BMW,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,M440i xDrive Coupe,2022,BMW,Hybrid Electric,,,26.0,Automatic,3.0L
Sedan/Wagon,M440i xDrive Gran Coupe,2022,BMW,Hybrid Electric,,,25.0,Automatic,3.0L
SUV,X3 M40i,2022,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X4 M40i,2022,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X5 sDrive40i,2022,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X5 xDrive40i,2022,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X5 xDrive45e,2022,BMW,Plug-in Hybrid Electric,31.0,50.0,20.0,Automatic,3.0L
SUV,X6 xDrive40i,2022,BMW,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,X7 xDrive40i,2022,BMW,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,Escalade 2WD,2022,Cadillac,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Escalade 4WD,2022,Cadillac,Biodiesel (B20),,,22.0,Automatic,3.0L
Sedan/Wagon,Bolt EUV,2022,Chevrolet,Electric,247.0,115.0,,Manual,150 kW electric motor
Sedan/Wagon,Bolt EV,2022,Chevrolet,Electric,259.0,120.0,,Manual,150 kW electric motor
Pickup,Colorado 2WD,2022,Chevrolet,Biodiesel (B20),,,23.0,Automatic,2.8L
Pickup,Colorado 4WD,2022,Chevrolet,Biodiesel (B20),,,22.0,Automatic,2.8L
Pickup,Colorado ZR2 4WD,2022,Chevrolet,Biodiesel (B20),,,19.0,Automatic,2.8L
Pickup,Silverado 2WD,2022,Chevrolet,Ethanol (E85),,12.0,16.0,Automatic,5.3L
Pickup,Silverado 2WD,2022,Chevrolet,Biodiesel (B20),,,26.0,Automatic,3.0L
Pickup,Silverado 4WD,2022,Chevrolet,Ethanol (E85),,12.0,15.0,Automatic,5.3L
Pickup,Silverado 4WD,2022,Chevrolet,Biodiesel (B20),,,23.0,Automatic,3.0L
Pickup,Silverado 4WD - Mud Terrain Tires,2022,Chevrolet,Biodiesel (B20),,,21.0,Automatic,3.0L
Pickup,Silverado 4WD - Mud Terrain Tires,2022,Chevrolet,Ethanol (E85),,11.0,15.0,Automatic,5.3L
SUV,Suburban 2WD,2022,Chevrolet,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Suburban 4WD,2022,Chevrolet,Biodiesel (B20),,,22.0,Automatic,3.0L
SUV,Tahoe 2WD,2022,Chevrolet,Biodiesel (B20),,,24.0,Automatic,3.0L
SUV,Tahoe 4WD,2022,Chevrolet,Biodiesel (B20),,,22.0,Automatic,3.0L
Van,Pacifica Hybrid,2022,Chrysler,Plug-in Hybrid Electric,32.0,82.0,30.0,Automatic,3.6L
Sedan/Wagon,SF90 Spyder,2022,Ferrari,Plug-in Hybrid Electric,8.0,44.0,17.0,Automatic,3.9L
Sedan/Wagon,SF90 Stradale ,2022,Ferrari,Plug-in Hybrid Electric,9.0,51.0,18.0,Automatic,3.9L
Sedan/Wagon,Escape AWD HEV,2022,Ford,Hybrid Electric,,,40.0,Automatic,2.5L I4
Sedan/Wagon,Escape FWD HEV,2022,Ford,Hybrid Electric,,,41.0,Automatic,2.5L I4
SUV,Escape FWD PHEV,2022,Ford,Plug-in Hybrid Electric,37.0,105.0,41.0,Automatic,2.5L
SUV,Explorer AWD FFV,2022,Ford,Ethanol (E85),,13.0,19.0,Automatic,3.3L
SUV,Explorer HEV AWD,2022,Ford,Hybrid Electric,,,25.0,Automatic,3.3L V6
SUV,Explorer HEV RWD,2022,Ford,Hybrid Electric,,,27.0,Automatic,3.3L V6
SUV,Explorer Platinum HEV ,2022,Ford,Hybrid Electric,,,23.0,Automatic,3.3L V6
Pickup,F-150 2WD FFV,2022,Ford,Ethanol (E85),,16.0,21.0,Automatic,3.3L
Pickup,F-150 2WD FFV - Without Start/Stop,2022,Ford,Ethanol (E85),,14.0,19.0,Automatic,5.0L
Pickup,F-150 2WD FFV - With Start/Stop,2022,Ford,Ethanol (E85),,14.0,20.0,Automatic,5.0L
Pickup,F-150 4WD FFV,2022,Ford,Ethanol (E85),,15.0,20.0,Automatic,3.3L
Pickup,F-150 4WD FFV - Without Start/Stop,2022,Ford,Ethanol (E85),,14.0,18.0,Automatic,5.0L
Pickup,F-150 4WD FFV - With Start/Stop,2022,Ford,Ethanol (E85),,13.0,19.0,Automatic,5.0L
Pickup,F150 Lightning 4WD,2022,Ford,Electric,230.0,68.0,,Automatic,358 kW electric motors (x2)
Pickup,F150 Lightning 4WD Extended Range,2022,Ford,Electric,320.0,70.0,,Automatic,210 kW electric motors (x2)
Pickup,F150 Lightning Platinum 4WD,2022,Ford,Electric,300.0,66.0,,Automatic,210 kW electric motors (x2)
Pickup,F150 Pickup 2WD HEV,2022,Ford,Hybrid Electric,,,25.0,Automatic,3.5L V6
Pickup,F150 Pickup 4WD HEV,2022,Ford,Hybrid Electric,,,23.0,Automatic,3.5L V6
Pickup,Maverick Pickup HEV,2022,Ford,Hybrid Electric,,,37.0,Automatic,2.5L V6
SUV,Mustang Mach-E AWD,2022,Ford,Electric,224.0,93.0,,Automatic,198 kW electric motors (x2)
SUV,Mustang Mach-E AWD California Route 1,2022,Ford,Electric,312.0,98.0,,Automatic,258 kW electric motors (x2)
SUV,Mustang Mach-E AWD Extended,2022,Ford,Electric,277.0,91.0,,Automatic,258 kW electric motors (x2)
SUV,Mustang Mach-E GT AWD,2022,Ford,Electric,270.0,84.0,,Automatic,179  kW electric motors (X2)
SUV,Mustang Mach-E GT Performance,2022,Ford,Electric,260.0,82.0,,Automatic,179  kW electric motor
SUV,Mustang Mach-E RWD,2022,Ford,Electric,247.0,103.0,,Automatic,198 kW electric motor
SUV,Mustang Mach-E RWD California Route 1,2022,Ford,Electric,314.0,101.0,,Automatic,216 kW electric motor
SUV,Mustang Mach-E RWD Extended,2022,Ford,Electric,303.0,97.0,,Automatic,216 kW electric motor
Van,Transit Connect Van FFV,2022,Ford,Ethanol (E85),,19.0,25.0,Automatic,2.0L
Passenger Van/Shuttle Bus,Transit Connect Wagon LWB FFV,2022,Ford,Ethanol (E85),,18.0,26.0,Automatic,2.0L
Van,Transit T150 Passenger Van 2WD FFV,2022,Ford,Ethanol (E85),,12.0,17.0,Automatic,3.5L
Van,Transit T150 Passenger Van 4WD FFV,2022,Ford,Ethanol (E85),,12.0,16.0,Automatic,3.5L
Pickup,Canyon 2WD,2022,GMC,Biodiesel (B20),,,23.0,Automatic,2.8L
Pickup,Canyon 4WD,2022,GMC,Biodiesel (B20),,,22.0,Automatic,2.8L
Pickup,Sierra 2WD,2022,GMC,Ethanol (E85),,12.0,16.0,Automatic,5.3L
Pickup,Sierra 2WD,2022,GMC,Biodiesel (B20),,,26.0,Automatic,3.0L
Pickup,Sierra 4WD,2022,GMC,Ethanol (E85),,12.0,16.0,Automatic,5.3L
Pickup,Sierra 4WD,2022,GMC,Biodiesel (B20),,,24.0,Automatic,3.0L
Pickup,Sierra 4WD - Mud Terrain Tires,2022,GMC,Biodiesel (B20),,,21.0,Automatic,3.0L
Pickup,Sierra 4WD - Mud Terrain Tires,2022,GMC,Ethanol (E85),,12.0,15.0,Automatic,5.3L
SUV,Yukon 2WD,2022,GMC,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Yukon 4WD,2022,GMC,Biodiesel (B20),,,22.0,Automatic,3.0L
SUV,Yukon XL 2WD,2022,GMC,Biodiesel (B20),,,23.0,Automatic,3.0L
SUV,Yukon XL 4WD,2022,GMC,Biodiesel (B20),,,22.0,Automatic,3.0L
Sedan/Wagon,Accord,2022,Honda,Hybrid Electric,,,47.0,Automatic,2.0L
Sedan/Wagon,Accord Sport/Touring,2022,Honda,Hybrid Electric,,,43.0,Automatic,2.0L
SUV,CR-V AWD,2022,Honda,Hybrid Electric,,,38.0,Automatic,2.0L
Sedan/Wagon,Insight,2022,Honda,Hybrid Electric,,,52.0,Automatic,1.5L
Sedan/Wagon,Insight Touring,2022,Honda,Hybrid Electric,,,48.0,Automatic,1.5L
Sedan/Wagon,Elantra Hybrid,2022,Hyundai,Hybrid Electric,,,50.0,Automatic,1.6L
Sedan/Wagon,Elantra Hybrid Blue,2022,Hyundai,Hybrid Electric,,,54.0,Automatic,1.6L
Sedan/Wagon,Ioniq,2022,Hyundai,Hybrid Electric,,,55.0,Automatic,1.6L
SUV,Ioniq 5 AWD (Long Range),2022,Hyundai,Electric,256.0,98.0,,Automatic,74 kW and 165 kW electric motors
SUV,Ioniq 5 RWD,2022,Hyundai,Electric,220.0,110.0,,Automatic,125 kW electric motor
SUV,Ioniq 5 RWD (Long Range),2022,Hyundai,Electric,303.0,114.0,,Automatic,168 kW electric motor
Sedan/Wagon,Ioniq Blue,2022,Hyundai,Hybrid Electric,,,59.0,Automatic,1.6L
Sedan/Wagon,Ioniq Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric,29.0,119.0,52.0,Automatic,1.6L
SUV,Kona Electric,2022,Hyundai,Electric,258.0,120.0,,Automatic,150 kW electric motor
SUV,Nexo,2022,Hyundai,Hydrogen Fuel Cell,,57.0,,Automatic,120 kW electric motor
SUV,Nexo Blue,2022,Hyundai,Hydrogen Fuel Cell,,61.0,,Automatic,120 kW electric motor
Sedan/Wagon,Santa Fe Hybrid,2022,Hyundai,Hybrid Electric,,,32.0,Automatic,1.6L
Sedan/Wagon,Santa Fe Hybrid Blue,2022,Hyundai,Hybrid Electric,,,34.0,Automatic,1.6L
Sedan/Wagon,Santa Fe Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric,31.0,76.0,33.0,Automatic,1.6L
Sedan/Wagon,Sonata Hybrid,2022,Hyundai,Hybrid Electric,,,47.0,Automatic,2.0L
Sedan/Wagon,Sonata Hybrid Blue,2022,Hyundai,Hybrid Electric,,,52.0,Automatic,2.0L
Sedan/Wagon,Tucson Hybrid,2022,Hyundai,Hybrid Electric,,,37.0,Automatic,1.6L
Sedan/Wagon,Tucson Hybrid Blue,2022,Hyundai,Hybrid Electric,,,38.0,Automatic,1.6L
SUV,Tucson Plug-in Hybrid,2022,Hyundai,Plug-in Hybrid Electric,33.0,80.0,35.0,Automatic,1.6L
SUV,E-PACE MHEV,2022,Jaguar,Hybrid Electric,,,23.0,Automatic,2.0L
SUV,F-PACE P340 MHEV,2022,Jaguar,Hybrid Electric,,,22.0,Automatic,3.0L
SUV,F-PACE P400 MHEV,2022,Jaguar,Hybrid Electric,,,22.0,Automatic,3.0L
SUV,Grand Cherokee 4xe,2022,Jeep,Plug-in Hybrid Electric,26.0,56.0,23.0,Automatic,2.0L
SUV,Wagoneer 4x2,2022,Jeep,Hybrid Electric,,,18.0,Automatic,5.7L
SUV,Wagoneer 4x4,2022,Jeep,Hybrid Electric,,,17.0,Automatic,5.7L
SUV,Wrangler 2dr 4x4,2022,Jeep,Hybrid Electric,,,21.0,Automatic,3.6L
SUV,Wrangler 4dr 4x4,2022,Jeep,Hybrid Electric,,,21.0,Automatic,3.6L
SUV,Wrangler 4dr 4xe,2022,Jeep,Plug-in Hybrid Electric,22.0,49.0,20.0,Automatic,2.0L
Sedan/Wagon,EV6 AWD (Long Range) ,2022,Kia,Electric,274.0,105.0,,Automatic,74 kW and 165 kW electric motors
Sedan/Wagon,EV6 RWD,2022,Kia,Electric,232.0,117.0,,Automatic,125 kW electric motor
Sedan/Wagon,EV6 RWD (Long Range) ,2022,Kia,Electric,310.0,117.0,,Automatic,168 kW electric motor
Sedan/Wagon,Niro,2022,Kia,Hybrid Electric,,,49.0,Automatic,1.6L
Sedan/Wagon,Niro Electric,2022,Kia,Electric,239.0,112.0,,Automatic,150 kW electric motor
Sedan/Wagon,Niro FE,2022,Kia,Hybrid Electric,,,50.0,Automatic,1.6L
Sedan/Wagon,Niro Plug-in Hybrid,2022,Kia,Plug-in Hybrid Electric,26.0,105.0,46.0,Automatic,1.6L
Sedan/Wagon,Niro Touring,2022,Kia,Hybrid Electric,,,43.0,Automatic,1.6L
SUV,Sorento Hybrid AWD,2022,Kia,Hybrid Electric,,,35.0,Automatic,1.6L
SUV,Sorento Hybrid FWD,2022,Kia,Hybrid Electric,,,37.0,Automatic,1.6L
SUV,Sorento Plug-in Hybrid,2022,Kia,Plug-in Hybrid Electric,32.0,79.0,34.0,Automatic,1.6L
SUV,Defender 110 MHEV,2022,Land Rover,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,Defender 90 MHEV,2022,Land Rover,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,Discovery MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,New Range Rover P360 LWB MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,New Range Rover P360 MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,New Range Rover P400 LWB MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,New Range Rover P400 MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,Range Rover Evoque MHEV,2022,Land Rover,Hybrid Electric,,,23.0,Automatic,2.0L
SUV,Range Rover P360 MHEV,2022,Land Rover,Hybrid Electric,,,20.0,Automatic,3.0L
SUV,Range Rover P400 MHEV,2022,Land Rover,Hybrid Electric,,,20.0,Automatic,3.0L
SUV,Range Rover Sport P360 MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,Range Rover Sport P400 MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
SUV,Range Rover Sport PHEV,2022,Land Rover,Plug-in Hybrid Electric,19.0,42.0,19.0,Automatic,2.0L
SUV,Range Rover Velar P340 MHEV,2022,Land Rover,Hybrid Electric,,,22.0,Automatic,3.0L
SUV,Range Rover Velar P400 MHEV,2022,Land Rover,Hybrid Electric,,,21.0,Automatic,3.0L
Sedan/Wagon,ES 300h,2022,Lexus,Hybrid Electric,,,44.0,Automatic,2.5L
Sedan/Wagon,LC 500h,2022,Lexus,Hybrid Electric,,,29.0,Automatic,3.5L
Sedan/Wagon,LS 500h AWD,2022,Lexus,Hybrid Electric,,,25.0,Automatic,3.5L
SUV,NX 350h AWD,2022,Lexus,Hybrid Electric,,,39.0,Automatic,2.5L
SUV,NX 450+ AWD,2022,Lexus,Plug-in Hybrid Electric,37.0,84.0,36.0,Automatic,2.5L
SUV,RX 450h AWD,2022,Lexus,Hybrid Electric,,,30.0,Automatic,3.5L
SUV,RX 450h L AWD,2022,Lexus,Hybrid Electric,,,29.0,Automatic,3.5L
Sedan/Wagon,UX 250h,2022,Lexus,Hybrid Electric,,,42.0,Automatic,2.0L
Sedan/Wagon,UX 250h AWD,2022,Lexus,Hybrid Electric,,,39.0,Automatic,2.0L
SUV,Aviator AWD PHEV,2022,Lincoln,Plug-in Hybrid Electric,21.0,56.0,23.0,Automatic,3.0L
SUV,Corsair AWD PHEV,2022,Lincoln,Plug-in Hybrid Electric,28.0,78.0,33.0,Automatic,2.5L
Sedan/Wagon,"Air Dream P AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,471.0,116.0,,Automatic,370kW and 459kW electric motors
Sedan/Wagon,"Air Dream P AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,451.0,111.0,,Automatic,370kW and 459kW electric motors
Sedan/Wagon,"Air Dream R AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,520.0,125.0,,Automatic,198kW and 498kW electric motors
Sedan/Wagon,"Air Dream R AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,481.0,116.0,,Automatic,198kW and 498kW electric motors
Sedan/Wagon,"Air G Touring AWD w/19"" wheels",2022,"Lucid USA, Inc.",Electric,516.0,131.0,,Automatic,178kW and 433kW electric motors
Sedan/Wagon,"Air G Touring AWD w/21"" wheels",2022,"Lucid USA, Inc.",Electric,469.0,121.0,,Automatic,178kW and 433kW electric motors
Sedan/Wagon,MX-30,2022,Mazda,Electric,100.0,92.0,,Manual,81 kW electric motor
Sedan/Wagon,AMG E53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,24.0,Automatic,3.0L
Sedan/Wagon,AMG E53 4MATIC+ (Convertible),2022,Mercedes-Benz,Hybrid Electric,,,23.0,Automatic,3.0L
Sedan/Wagon,AMG E53 4MATIC+ (Coupe),2022,Mercedes-Benz,Hybrid Electric,,,23.0,Automatic,3.0L
SUV,AMG GLE 53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,AMG GLE 53 4MATIC+ (Coupe),2022,Mercedes-Benz,Hybrid Electric,,,19.0,Automatic,3.0L
SUV,AMG GLE 63 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,15.0,Automatic,4.0L
SUV,AMG GLE 63 S 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,16.0,Automatic,4.0L
SUV,AMG GLE 63 S 4MATIC+ (coupe),2022,Mercedes-Benz,Hybrid Electric,,,16.0,Automatic,4.0L
Sedan/Wagon,AMG GT 43 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,21.0,Automatic,3.0L
Sedan/Wagon,AMG GT 53 4MATIC+,2022,Mercedes-Benz,Hybrid Electric,,,21.0,Automatic,3.0L
